family,nist_level,operation,count,mean_ns,median_ns,stdev_ns,min_ns,max_ns,p95_ns,mean_ms,median_ms,p95_ms
Classic-McEliece,L1,decapsulate,200,55446064.91,55427898.0,81049.22068409662,55371944,56185981,55592851,55.44606491,55.427898,55.592851
Classic-McEliece,L1,encapsulate,200,267561.13,259824.0,39193.56187417807,247592,650278,300723,0.26756113,0.259824,0.300723
Classic-McEliece,L1,keygen,200,333387967.425,228623058.0,222132282.72691047,151123914,1524755930,775097992,333.387967425,228.623058,775.097992
Classic-McEliece,L3,decapsulate,200,89402827.855,89376790.5,142068.8349433286,89326874,91198857,89558355,89.402827855,89.3767905,89.558355
Classic-McEliece,L3,encapsulate,200,661194.45,639889.5,74894.9866267201,594982,1112797,786519,0.66119445,0.6398895,0.786519
Classic-McEliece,L3,keygen,200,1114665990.52,911517381.0,774420577.2954772,465008530,5149965256,2623102347,1114.66599052,911.517381,2623.102347
Classic-McEliece,L5,decapsulate,200,209064433.79,208999085.0,310242.02737732336,208875863,212182106,209295326,209.06443378999998,208.999085,209.295326
Classic-McEliece,L5,encapsulate,200,2010012.27,1990714.5,78331.56409285638,1904057,2433464,2149594,2.01001227,1.9907145,2.149594
Classic-McEliece,L5,keygen,200,8834743163.785,7065811823.0,6919740599.006205,2467110397,36617415655,25241498391,8834.743163785,7065.811823,25241.498391
Falcon,L1,keygen,200,18871758.34,17634789.5,5214380.885448108,13642935,41620380,29606094,18.87175834,17.6347895,29.606094
Falcon,L1,sign,200,648610.76,641333.5,53844.59762305167,626353,1360649,664501,0.6486107600000001,0.6413335,0.664501
Falcon,L1,verify,200,111673.495,109658.0,14774.003648265756,108704,307167,115519,0.111673495,0.109658,0.115519
Falcon,L5,keygen,200,51014806.005,47292161.5,11289783.688686738,41596861,111869483,74300254,51.014806005000004,47.2921615,74.300254
Falcon,L5,sign,200,1307083.77,1295621.0,48230.03159375674,1268853,1798964,1389631,1.30708377,1.295621,1.389631
Falcon,L5,verify,200,195232.37,193148.0,16391.00967769746,192463,417537,202259,0.19523237,0.193148,0.202259
HQC,L1,decapsulate,200,73047421.585,73028845.5,120251.52442286497,72873327,73829846,73239438,73.047421585,73.0288455,73.239438
HQC,L1,encapsulate,200,44665112.085,44536817.5,372407.0858423423,44473956,46894550,45645586,44.665112085000004,44.5368175,45.645586
HQC,L1,keygen,200,22097541.745,22058098.5,214689.02225887642,21992533,24825239,22246089,22.097541745,22.0580985,22.246089
HQC,L3,decapsulate,200,211188655.865,211135272.0,278547.6129043116,210847975,213354274,211539532,211.18865586500002,211.135272,211.539532
HQC,L3,encapsulate,200,135386398.55,135264007.5,527807.8863286538,135100110,140495743,135847536,135.38639855000002,135.2640075,135.847536
HQC,L3,keygen,200,67449170.21,67357379.0,442563.5490712363,67264249,72678031,67792657,67.44917020999999,67.357379,67.792657
HQC,L5,decapsulate,200,392310037.97,392152773.5,853065.0858364059,391646598,401151881,392945709,392.31003797000005,392.1527735,392.945709
HQC,L5,encapsulate,200,248790198.945,248674973.5,491976.97251757607,248457779,252927707,249217687,248.790198945,248.6749735,249.217687
HQC,L5,keygen,200,123594395.29,123535240.5,282800.2593152982,123397380,126315419,123966065,123.59439529000001,123.5352405,123.966065
ML-DSA,L1,keygen,200,256626.995,251704.0,34007.95799012735,247648,719056,270463,0.25662699499999997,0.251704,0.270463
ML-DSA,L1,sign,200,1033045.98,851630.5,691749.4392387138,416389,4112836,2683946,1.03304598,0.8516305,2.683946
ML-DSA,L1,verify,200,248651.785,246194.0,16341.250654510588,245352,466686,255741,0.24865178500000001,0.246194,0.255741
ML-DSA,L3,keygen,200,419028.06,414694.5,28130.134880022193,411666,798167,431760,0.41902806,0.4146945,0.43176
ML-DSA,L3,sign,200,1591044.48,1288242.0,1015820.4004476914,609056,6890690,3771799,1.5910444799999999,1.288242,3.771799
ML-DSA,L3,verify,200,384161.84,382445.0,10832.335623479292,380612,527037,391815,0.38416184000000003,0.382445,0.391815
ML-DSA,L5,keygen,200,613954.635,609612.0,26690.426508540735,601278,962371,633889,0.613954635,0.609612,0.633889
ML-DSA,L5,sign,200,1768605.555,1480473.0,977609.6954150693,919427,6168041,3757318,1.768605555,1.480473,3.757318
ML-DSA,L5,verify,200,612835.615,610510.0,12111.621700990936,606834,760945,626389,0.612835615,0.61051,0.626389
ML-KEM,L1,decapsulate,200,70632.755,66759.0,22300.58799177433,65426,354927,83982,0.070632755,0.066759,0.083982
ML-KEM,L1,encapsulate,200,65812.92,61667.0,27349.418960941483,60185,340759,72223,0.06581292,0.061667,0.072223
ML-KEM,L1,keygen,200,116025.87,81740.5,449163.60760174255,80019,6435041,98278,0.11602586999999999,0.0817405,0.098278
ML-KEM,L3,decapsulate,200,96518.285,94120.0,18277.944822887435,93444,347889,100186,0.09651828500000001,0.09412,0.100186
ML-KEM,L3,encapsulate,200,88979.97,85981.0,22878.263914418614,84982,361352,91426,0.08897997,0.085981,0.091426
ML-KEM,L3,keygen,200,111307.02,107259.0,39590.965883742196,105944,663797,116166,0.11130702,0.107259,0.116166
ML-KEM,L5,decapsulate,200,144294.72,136324.5,32829.37339087953,131538,551001,175963,0.14429472,0.1363245,0.175963
ML-KEM,L5,encapsulate,200,120824.455,117685.0,22372.800650627956,116685,394037,129759,0.120824455,0.117685,0.129759
ML-KEM,L5,keygen,200,142471.765,136204.0,29369.129418896544,134370,509667,163018,0.142471765,0.136204,0.163018
SPHINCS+,L1,keygen,200,193257376.8,193108695.0,581902.8157920389,192903427,197675763,193818668,193.2573768,193.108695,193.818668
SPHINCS+,L1,sign,200,1460870150.11,1460286624.5,1713789.1412998522,1459365300,1470576807,1464233396,1460.87015011,1460.2866245,1464.233396
SPHINCS+,L1,verify,200,1490511.76,1488251.5,12063.75469616513,1483371,1647130,1495742,1.49051176,1.4882515,1.495742
SPHINCS+,L3,keygen,200,280879459.43,280552735.5,979953.0628324648,280256263,287363861,282853820,280.87945943,280.5527355,282.85382
SPHINCS+,L3,sign,200,2611102489.575,2598465466.5,156164572.43938982,2596174826,4807127170,2607769260,2611.1024895749997,2598.4654665,2607.76926
SPHINCS+,L3,verify,200,2199939.34,2189057.0,36157.225108019,2180816,2375854,2285946,2.19993934,2.189057,2.285946
SPHINCS+,L5,keygen,200,186052254.085,186004505.5,239383.2273281652,185667311,187628034,186502626,186.05225408500002,186.0045055,186.502626
SPHINCS+,L5,sign,200,2308355649.995,2307461261.0,2575460.9815398944,2305915556,2325331662,2314100691,2308.355649995,2307.461261,2314.100691
SPHINCS+,L5,verify,200,3117886.625,3090558.0,58818.74247299835,3079706,3513854,3226798,3.117886625,3.090558,3.226798
Suite,L1,full_handshake,1800,879650001.2916666,502605145.0,720830935.5869328,213388069,3413382410,2038820303,879.6500012916666,502.605145,2038.820303
Suite,L3,full_handshake,1200,2559706649.8908334,3177684326.0,1501806687.573276,574255501,8208797011,4792808453,2559.7066498908334,3177.684326,4792.808453
Suite,L5,full_handshake,1600,9528044627.69375,7613403004.5,7100577371.993492,2497538134,63136681036,24339003293,9528.044627693751,7613.4030045,24339.003293
